Checker,Annotaions,Comments,ReactCount,ReplyCount
,8,এনার সাথে ভালো ব্যবহার করুন। গালাগালি করবেননা। হতে পারে এরা অটিস্টিক কিন্তু আমাদের মতোই মানুষ। সঠিক চিকিৎসা ও সেবাযত্ন পেলে এরাও আমাদের সাথে চলাফেরা করতে পারবে। প্রধানমন্ত্রীর দৃষ্টি আকর্ষণ এইসব প্রতিবন্ধীদের ভালো একটু চিকিৎসার ব্যবস্থা করে দিন।হিজরাদে…,469,15 replies
,8,সানি লিওন কোন এক মুভির সুটিং করার জন্য বিমানে করে যাচ্ছিলেন।,297,54 replies
,8,কে তুমি বৎস ধরিয়া মৎস বেচিয়া গঞ্জে অকুল কুঞ্জে না খাইয়া তাজা কেনো তুমি ভক্ষন করিয়াছো মেয়াদ উত্তীর্ণ গাজা,40,1 reply
,8,নেইমারের প্যান্ট কেনার জন্য টাকা তোলা হচ্ছে!,304,38 replies
,8, ব্রা ফ্যানদের অনুরোধ করছি লজ্জা থাকলে বাহিরে বের হবেননা,42,16 replies
,8,ধন্যবাদ তুমি ব্রাজিলের সাপোর্টার। খুব টেনশনে ছিলাম তোমার মত পাগল কোন দল কে সাপোর্ট করে সেটা নিয়।,18,1 reply
,8,"হাগদে গেলেও ব্রাজিল,কারণ হাগুও হলুদ",20,1 reply
,8,"আপনার আশেপাশে থাকা ব্রাজিলীয়ান ফ্যানদের সঙ্গ দিন। তাদের পানির বোতল এগিয়ে দিন। ধারালো অস্ত্র, দাহ্য পদার্থ, ইঁদুর মারার ঔষধ, হারপিক, ঘুমের পিল জাতীয় মেডিসিন দূরে সরিয়ে রাখুন। সম্ভব হলে ডিশের সংযোগ কেটে দিন। স্মার্ট ফোন হাতে থাকলে এখনি সরিয়ে নিন, কোনভা…",5,1 reply
,8,লাফালাফি না করে গর্ত খুড়ে গর্তে ঢুকেন।,6,4 replies
,8,"নেইমারের প্যান্ট ছিঁড়ে গেছে, ভেতরের আন্ডার ওয়্যার দেখা যাচ্ছে, ছেঁড়া প্যান্ট পরে খেলা সম্ভব হবে কি না সন্দেহ আছে।",4,1 reply
